id,cwe,class,package,vulnerable_version,fixed_version,version_gap,fix_commit,sink_file,sink_line,entry_dir,rank
CVE-2020-6836,CWE-094,Wstrzykniecie kodu,hot-formula-parser,3.0.0,3.0.1,patch,https://github.com/handsontable/formula-parser/commit/396b089738d4bf30eb570a4fe6a188affa95cd5e,lib/grammar-parser/grammar-parser.js,258,code-injection\hot-formula-parser_3.0.0,1
CVE-2020-7640,CWE-094,Wstrzykniecie kodu,pixl-class,1.0.0,1.0.3,patch,https://github.com/jhuckaby/pixl-class/commit/47677a3638e3583e42f3a05cc7f0b30293d2acc8,class.js,26,code-injection\pixl-class_1.0.0,2
CVE-2020-7677,CWE-094,Wstrzykniecie kodu,thenify,3.3.0,3.3.1,patch,https://github.com/thenables/thenify/commit/0d94a24eb933bc835d568f3009f4d269c4c4c17a,index.js,17,code-injection\thenify_3.3.0,3
is-my-json-valid_2.20.0,CWE-094,Wstrzykniecie kodu,is-my-json-valid,2.20.0,2.20.3,patch,https://github.com/mafintosh/is-my-json-valid/commit/3419563687df463b4ca709a2b46be8e15d6a2b3d,index.js,172,code-injection\is-my-json-valid_2.20.0,4
js-yaml_3.13.0,CWE-094,Wstrzykniecie kodu,js-yaml,3.13.0,3.13.1,patch,https://github.com/nodeca/js-yaml/pull/480/commits/e18afbf1edcafb7add2c4c7b22abc8d6ebc2fa61,lib/js-yaml/type/js/function.js,70,code-injection\js-yaml_3.13.0,5
mobile-icon-resizer_0.4.0,CWE-094,Wstrzykniecie kodu,mobile-icon-resizer,0.4.2,0.4.3,patch,https://github.com/muzzley/mobile-icon-resizer/commit/a6c50f884bd282d74ab77e1fce6317d5d0dd2f0f,lib/resize.js,31,code-injection\mobile-icon-resizer_0.4.0,6
static-eval_1.1.1,CWE-094,Wstrzykniecie kodu,static-eval,1.1.1,2.0.2,major,https://github.com/browserify/static-eval/commit/32f8efd072625e267aa7237d2daff35738c50d2a,index.js,118,code-injection\static-eval_1.1.1,7
CVE-2014-9682,CWE-078,Wstrzykniecie polecen systemowych,dns-sync,0.1.0,0.1.3,patch,https://github.com/skoranga/node-dns-sync/commit/d9abaae384b198db1095735ad9c1c73d7b890a0d,lib/dns-sync.js,21,command-injection\dns-sync_0.1.0,1
CVE-2018-13797,CWE-078,Wstrzykniecie polecen systemowych,macaddress,0.2.8,0.2.9,patch,https://github.com/scravy/node-macaddress/commit/358fd594adb196a86b94ac9c691f69fe5dad2332,lib/unix.js,4,command-injection\macaddress_0.2.8,2
CVE-2018-16461,CWE-078,Wstrzykniecie polecen systemowych,libnmap,0.4.11,0.4.16,patch,https://github.com/jas-/node-libnmap/commit/c235b24b0342e12a5dbf502f89daabe95883b6c8,lib/classes/tools.js,114,command-injection\libnmap_0.4.11,3
CVE-2018-16462,CWE-078,Wstrzykniecie polecen systemowych,apex-publish-static-files,2.0.0,2.0.1,patch,https://github.com/vincentmorneau/apex-publish-static-files/commit/2209af8f2b65c24aa55ab757e0e05b958c16f063,index.js,54,command-injection\apex-publish-static-files_2.0.0,4
CVE-2018-3772,CWE-078,Wstrzykniecie polecen systemowych,whereis,0.4.0,0.4.1,patch,https://github.com/vvo/node-whereis/commit/0f64e3780235004fb6e43bfd153ea3e0e210ee2b,index.js,4,command-injection\whereis_0.4.0,5
CVE-2019-10802,CWE-078,Wstrzykniecie polecen systemowych,giting,0.0.7,0.0.8,patch,https://github.com/MangoRaft/git/commit/9be41081f547d3dcef25e7d7c957bc2a3be2dfe0,lib/git.js,223,command-injection\giting_0.0.7,6
CVE-2020-28490,CWE-078,Wstrzykniecie polecen systemowych,async-git,1.13.1,1.13.2,patch,https://github.com/omrilotan/async-git/commit/d1950a5021f4e19d92f347614be0d85ce991510d,lib/reset/index.js,11,command-injection\async-git_1.13.1,7
CVE-2020-28494,CWE-078,Wstrzykniecie polecen systemowych,total.js,3.4.6,3.4.7,patch,https://github.com/totaljs/framework/commit/6192491ab2631e7c1d317c221f18ea613e2c18a5,image.js,329,command-injection\total.js_3.4.6,8
CVE-2020-6836,CWE-078,Wstrzykniecie polecen systemowych,hot-formula-parser,3.0.0,3.0.1,patch,https://github.com/handsontable/formula-parser/commit/396b089738d4bf30eb570a4fe6a188affa95cd5e,lib/grammar-parser/grammar-parser.js,258,command-injection\hot-formula-parser_3.0.0,9
CVE-2020-7730,CWE-078,Wstrzykniecie polecen systemowych,bestzip,2.1.6,2.1.7,patch,https://github.com/nfriedly/node-bestzip/commit/45d4a901478c6a8f396c8b959dd6cf8fd3f955b6,lib/bestzip.js,27,command-injection\bestzip_2.1.6,10
CVE-2020-7795,CWE-078,Wstrzykniecie polecen systemowych,get-npm-package-version,1.0.6,1.0.7,patch,https://github.com/hoperyy/get-npm-package-version/commit/40b1cf31a0607ea66f9e30a0c3af1383b52b2dec,index.js,16,command-injection\get-npm-package-version_1.0.6,11
CVE-2021-23348,CWE-078,Wstrzykniecie polecen systemowych,portprocesses,1.0.4,1.0.5,patch,https://github.com/rrainn/PortProcesses/commit/86811216c9b97b01b5722f879f8c88a7aa4214e1,exec.js,5,command-injection\portprocesses_1.0.4,12
CVE-2021-23360,CWE-078,Wstrzykniecie polecen systemowych,killport,1.0.1,1.0.2,patch,https://github.com/ssnau/killport/commit/bec8e371f170a12e11cd222ffc7a6e1ae9942638,index.js,9,command-injection\killport_1.0.1,13
CVE-2021-23363,CWE-078,Wstrzykniecie polecen systemowych,kill-by-port,0.0.1,0.0.2,patch,https://github.com/GuyMograbi/kill-by-port/commit/ea5b1f377e196a4492e05ff070eba8b30b7372c4,index.js,8,command-injection\kill-by-port_0.0.1,14
extra-asciinema_1.0.0,CWE-078,Wstrzykniecie polecen systemowych,extra-asciinema,1.0.0,1.0.23,patch,https://github.com/nodef/extra-asciinema/commit/fd1a8a38d6c72e1eb573b2ab03d5e86de8047480,index.js,208,command-injection\extra-asciinema_1.0.0,15
CVE-2017-16034,CWE-078,Wstrzykniecie polecen systemowych,pidusage,1.0.0,1.1.5,minor,https://github.com/soyuka/pidusage/commit/b70eca15f7ca7f1b82a15f8a5d4bb48737f5a89d,lib/stats.js,108,command-injection\pidusage_1.0.0,16
CVE-2017-16042,CWE-078,Wstrzykniecie polecen systemowych,growl,1.9.0,1.10.0,minor,https://github.com/tj/node-growl/commit/d71177d5331c9de4658aca62e0ac921f178b0669,lib/growl.js,289,command-injection\growl_1.9.0,17
CVE-2019-10776,CWE-078,Wstrzykniecie polecen systemowych,scp,0.0.3,0.22.2,minor,https://github.com/kellyselden/git-diff-apply/commit/106d61d3ae723b4257c2a13e67b95eb40a27e0b5,scp.js,21,command-injection\scp_0.0.3,18
CVE-2020-15123,CWE-078,Wstrzykniecie polecen systemowych,codecov,3.6.4,3.7.1,minor,https://github.com/codecov/codecov-node/commit/c0711c656686e902af2cd92d6aecc8074de4d83d,lib/codecov.js,419,command-injection\codecov_3.6.4,19
CVE-2020-7613,CWE-078,Wstrzykniecie polecen systemowych,clamscan,1.2.0,1.3.0,minor,https://github.com/kylefarris/clamscan/commit/5f557c970817fe8c578ec3f7ad3bcbcef4cf5538,index.js,495,command-injection\clamscan_1.2.0,20
CVE-2021-21412,CWE-078,Wstrzykniecie polecen systemowych,@thi.ng/egf,0.3.0,0.4.0,minor,https://github.com/thi-ng/umbrella/commit/88f61656e5f5cfba960013b8133186389efaf243,lib/index.js,157,command-injection\thi.ng-egf_0.3.0,21
CVE-2021-29300,CWE-078,Wstrzykniecie polecen systemowych,samsung-remote,1.2.5,1.5.2,minor,https://github.com/ronomon/opened/commit/7effe011d4fea8fac7f78c00615e0a6e69af68ec,lib/samsung-remote.js,103,command-injection\samsung-remote_1.2.5,22
CVE-2018-16462,CWE-078,Wstrzykniecie polecen systemowych,diskstats,0.0.2,2.0.1,major,https://github.com/vincentmorneau/apex-publish-static-files/commit/2209af8f2b65c24aa55ab757e0e05b958c16f063,lib/stat.js,44,command-injection\diskstats_0.0.2,23
CVE-2018-3757,CWE-078,Wstrzykniecie polecen systemowych,pdf-image,1.0.5,2.0.1,major,https://github.com/roest01/node-pdf-image/commit/54679496a89738443917608c2bbe2f6e5dd20e83,index.js,43,command-injection\pdf-image_1.0.5,24
CVE-2019-10807,CWE-078,Wstrzykniecie polecen systemowych,blamer,0.1.13,1.0.1,major,https://github.com/kucherenko/blamer/commit/5fada8c9b6986ecd28942b724fa682e77ce1e11c,src/vcs/git.js,24,command-injection\blamer_0.1.13,25
CVE-2020-7631,CWE-078,Wstrzykniecie polecen systemowych,diskusage-ng,0.2.6,1.0.0,major,https://github.com/iximiuz/node-diskusage-ng/commit/48e7e093486b528f0c81ec699573e0e4a431b8d3#diff-38182cfe286a150ebcc88df0ec57ed66,lib/posix.js,11,command-injection\diskusage-ng_0.2.6,26
arpping_2.0.0,CWE-078,Wstrzykniecie polecen systemowych,arpping,2.0.0,3.0.0,major,https://github.com/haf-decent/arpping/commit/0db06723f8c3c73a5cc0829c667d45cba25ca44d,index.js,120,command-injection\arpping_2.0.0,27
CVE-2017-16083,CWE-022,Przejscie przez katalogi,node-simple-router,0.10.0,0.10.1,patch,https://github.com/sandy98/node-simple-router/commit/dfdd52e2e80607af433097d940b3834fd96df488,lib/router.js,757,path-traversal\node-simple-router_0.10.0,1
CVE-2018-16485,CWE-022,Przejscie przez katalogi,m-server,1.4.0,1.4.2,patch,https://github.com/nunnly/m-server/commit/01f13f040d1961ca3146dce7e2db990156e65e9a,lib/index.js,14,path-traversal\m-server_1.4.0,2
CVE-2018-3715,CWE-022,Przejscie przez katalogi,glance,3.0.0,3.0.4,patch,https://github.com/jarofghosts/glance/commit/8cfd88e44ebd3f07e3a2eaf376a3e758b6c4ca19,index.js,81,path-traversal\glance_3.0.0,3
