id,class,reason
CVE-2020-7674,code-injection,brak fixedVersion
CVE-2020-7675,code-injection,brak fixedVersion
CVE-2020-28464,code-injection,brak fixCommit
CVE-2020-7777,code-injection,brak fixedVersion
CVE-2020-7766,code-injection,brak fixCommit
kmc_1.2.2,code-injection,brak fixedVersion
local-devices_2.0.0,code-injection,brak fixCommit
m-log_0.0.1,code-injection,brak fixedVersion
marsdb_0.6.11,code-injection,brak fixedVersion
mathjs_3.10.3,code-injection,brak sink
mathjs_3.9.0,code-injection,brak sink
mixin-pro_0.6.0,code-injection,brak sink
modjs_0.4.0,code-injection,brak fixedVersion
modulify_0.1.0,code-injection,brak fixedVersion
mol-proto_0.1.3,code-injection,numer wersji nie jest dokladny
mongo-parse_2.1.0,code-injection,brak fixedVersion
mongoosemask_0.0.6,code-injection,brak fixedVersion
CVE-2020-7672,code-injection,brak fixedVersion
CVE-2020-7673,code-injection,brak fixedVersion
CVE-2020-7609,code-injection,brak fixCommit
CVE-2017-5941,code-injection,brak fixedVersion
open_0.0.5,code-injection,brak fixCommit
CVE-2021-23594,code-injection,brak fixedVersion
CVE-2016-10548,code-injection,brak fixCommit
 CVE-2020-7710,code-injection,brak fixedVersion
CVE-2019-10759,code-injection,brak fixCommit
CVE-2020-7660,code-injection,brak sink
CVE-2017-5954,code-injection,brak sink
CVE-2021-23358,code-injection,wersja naprawiona nie wyzsza od podatnej
value-censorship_1.1.0,code-injection,brak fixedVersion
veval_1.0.0,code-injection,brak fixedVersion
CVE-2020-15362,code-injection,brak fixedVersion
zhaoyao91-eval-in-vm_0.0.0,code-injection,brak fixedVersion
CVE-2020-26707,command-injection,brak fixedVersion
CVE-2020-7636,command-injection,brak fixedVersion
CVE-2018-16462,command-injection,wersja naprawiona nie wyzsza od podatnej
CVE-2020-7633,command-injection,brak fixedVersion
CVE-2020-7794,command-injection,brak fixedVersion
CVE-2019-10776,command-injection,wersja naprawiona nie wyzsza od podatnej
CVE-2020-7635,command-injection,brak fixedVersion
CVE-2020-7781,command-injection,brak fixCommit
CVE-2020-28440,command-injection,brak fixedVersion
CVE-2020-28439,command-injection,brak fixedVersion
CVE-2019-10789,command-injection,brak fixCommit
CVE-2020-28425,command-injection,brak fixedVersion
CVE-2020-28438,command-injection,brak fixedVersion
CVE-2020-7624,command-injection,brak fixedVersion
CVE-2019-10801,command-injection,brak fixedVersion
CVE-2021-26275,command-injection,brak fixedVersion
CVE-2020-28435,command-injection,brak fixedVersion
CVE-2021-23376,command-injection,brak fixedVersion
CVE-2019-10788,command-injection,brak fixedVersion
freespace_1.0.4,command-injection,brak fixedVersion
CVE-2020-28429,command-injection,brak fixedVersion
CVE-2020-7630,command-injection,brak fixedVersion
CVE-2018-3785,command-injection,brak fixedVersion
git-lib_1.6.0,command-injection,brak fixedVersion
CVE-2021-26543,command-injection,brak fixCommit
CVE-2020-7636,command-injection,brak fixedVersion
CVE-2021-23632,command-injection,brak fixedVersion
CVE-2020-28434,command-injection,brak fixedVersion
gity_1.0.5,command-injection,brak fixedVersion
CVE-2015-7982,command-injection,brak fixCommit
CVE-2020-28436,command-injection,brak fixedVersion
gry_5.0.8,command-injection,brak fixCommit
CVE-2020-28437,command-injection,brak fixedVersion
CVE-2019-10788,command-injection,brak fixedVersion
CVE-2019-10787,command-injection,brak fixedVersion
imagickal_5.0.1,command-injection,brak fixedVersion
CVE-2020-8178,command-injection,brak fixedVersion
CVE-2019-15609,command-injection,brak fixCommit
CVE-2021-23356,command-injection,brak fixedVersion
CVE-2021-23381,command-injection,brak fixedVersion
local-devices_2.0.0,command-injection,brak fixCommit
CVE-2019-10783,command-injection,brak fixedVersion
CVE-2021-23377,command-injection,brak fixedVersion
CVE-2020-7786,command-injection,brak fixedVersion
CVE-2020-28423,command-injection,brak fixedVersion
CVE-2019-15597,command-injection,brak fixedVersion
CVE-2020-7627,command-injection,brak fixedVersion
CVE-2020-28433,command-injection,brak fixedVersion
CVE-2020-7632,command-injection,brak fixedVersion
CVE-2020-7785,command-injection,brak fixedVersion
node-unrar_0.1.0,command-injection,brak fixedVersion
npm-git-publish_0.2.4-beta,command-injection,brak fixedVersion
CVE-2020-28445,command-injection,brak fixedVersion
CVE-2021-23377,command-injection,brak fixedVersion
open_0.0.5,command-injection,brak fixCommit
CVE-2020-8132,command-injection,brak fixedVersion
CVE-2018-3746,command-injection,brak fixCommit
CVE-2021-23359,command-injection,brak fixedVersion
CVE-2021-23379,command-injection,brak fixedVersion
