file,cwe,expected_finding,sink_line,flow_level,filename,codeql_detected,sonar_detected,codeql_any_finding,sonar_any_finding
CWE-094/cwe_94_eval_express.js,CWE-094,True,23,1,cwe_94_eval_express.js,True,True,True,True
CWE-094/cwe_94_settimeout_string_scheduler.js,CWE-094,True,19,2,cwe_94_settimeout_string_scheduler.js,True,True,True,True
CWE-094/cwe_94_vm_run_in_new_context.ts,CWE-094,True,26,3,cwe_94_vm_run_in_new_context.ts,True,True,True,True
CWE-094/cwe_94_lodash_template_upload.js,CWE-094,True,21,4,cwe_94_lodash_template_upload.js,False,False,True,True
CWE-094/cwe_94_new_function_rules_engine.js,CWE-094,True,26,5,cwe_94_new_function_rules_engine.js,False,True,True,True
CWE-078/cwe_78_exec_ping_diagnostics.js,CWE-078,True,16,1,cwe_78_exec_ping_diagnostics.js,True,True,True,True
CWE-078/cwe_78_execsync_repo_clone.js,CWE-078,True,31,2,cwe_78_execsync_repo_clone.js,True,True,True,True
CWE-078/cwe_78_spawn_shell_true_converter.ts,CWE-078,True,30,3,cwe_78_spawn_shell_true_converter.ts,False,False,False,True
CWE-078/cwe_78_second_order_backup_worker.js,CWE-078,True,48,4,cwe_78_second_order_backup_worker.js,False,False,True,True
CWE-078/cwe_78_broken_sanitizer_media_queue.js,CWE-078,True,38,5,cwe_78_broken_sanitizer_media_queue.js,False,False,False,True
CWE-089/cwe_89_string_concat_login.js,CWE-089,True,30,1,cwe_89_string_concat_login.js,True,True,True,True
CWE-089/cwe_89_partial_parameterization_search.js,CWE-089,True,31,2,cwe_89_partial_parameterization_search.js,True,True,True,True
CWE-089/cwe_89_knex_whereraw_analytics.ts,CWE-089,True,31,3,cwe_89_knex_whereraw_analytics.ts,True,True,True,True
CWE-089/cwe_89_second_order_saved_filters.js,CWE-089,True,48,4,cwe_89_second_order_saved_filters.js,False,False,True,True
CWE-089/cwe_89_sequelize_literal_broken_escape.js,CWE-089,True,38,5,cwe_89_sequelize_literal_broken_escape.js,True,True,True,True
CWE-079/cwe_79_reflected_search_express.js,CWE-079,True,25,1,cwe_79_reflected_search_express.js,True,True,True,True
CWE-079/cwe_79_ejs_unescaped_profile.js,CWE-079,True,24,2,cwe_79_ejs_unescaped_profile.js,False,True,False,True
CWE-079/cwe_79_stored_comments_react_ssr.tsx,CWE-079,True,42,3,cwe_79_stored_comments_react_ssr.tsx,False,False,True,True
CWE-079/cwe_79_broken_sanitizer_markdown.js,CWE-079,True,28,4,cwe_79_broken_sanitizer_markdown.js,True,False,True,True
CWE-079/cwe_79_state_hydration_script_context.js,CWE-079,True,55,5,cwe_79_state_hydration_script_context.js,False,False,False,True
CWE-022/cwe_22_readfile_concat_docs.js,CWE-022,True,18,1,cwe_22_readfile_concat_docs.js,True,True,True,True
CWE-022/cwe_22_naive_replace_avatar.js,CWE-022,True,25,2,cwe_22_naive_replace_avatar.js,True,False,True,True
CWE-022/cwe_22_zip_slip_theme_import.js,CWE-022,True,30,3,cwe_22_zip_slip_theme_import.js,True,False,True,True
CWE-022/cwe_22_path_resolve_absolute_templates.ts,CWE-022,True,31,4,cwe_22_path_resolve_absolute_templates.ts,False,True,False,True
CWE-022/cwe_22_second_order_manifest_export.js,CWE-022,True,52,5,cwe_22_second_order_manifest_export.js,False,False,True,True
CWE-1321/cwe_1321_recursive_merge_settings.js,CWE-1321,True,27,1,cwe_1321_recursive_merge_settings.js,True,True,True,True
CWE-1321/cwe_1321_query_parser_filters.js,CWE-1321,True,26,2,cwe_1321_query_parser_filters.js,True,False,True,True
CWE-1321/cwe_1321_gadget_chain_ejs_render.js,CWE-1321,True,24,3,cwe_1321_gadget_chain_ejs_render.js,True,False,True,True
CWE-1321/cwe_1321_auth_flag_override.ts,CWE-1321,True,33,4,cwe_1321_auth_flag_override.ts,True,False,True,True
CWE-1321/cwe_1321_websocket_path_assignment.js,CWE-1321,True,29,5,cwe_1321_websocket_path_assignment.js,False,False,False,True
CWE-1333/cwe_1333_nested_quantifier_validation.js,CWE-1333,True,19,1,cwe_1333_nested_quantifier_validation.js,True,True,True,True
CWE-1333/cwe_1333_hidden_match_forwarded_host.js,CWE-1333,True,19,2,cwe_1333_hidden_match_forwarded_host.js,True,False,True,True
CWE-1333/cwe_1333_zod_schema_pattern.ts,CWE-1333,True,24,3,cwe_1333_zod_schema_pattern.ts,True,True,True,True
CWE-1333/cwe_1333_dynamic_regexp_catalog_search.js,CWE-1333,True,24,4,cwe_1333_dynamic_regexp_catalog_search.js,True,True,True,True
CWE-1333/cwe_1333_async_log_pipeline.js,CWE-1333,True,20,5,cwe_1333_async_log_pipeline.js,True,True,True,True
CWE-327/cwe_327_md5_literal_password.js,CWE-327,True,19,1,cwe_327_md5_literal_password.js,True,True,True,True
CWE-327/cwe_327_sha1_module_constant.js,CWE-327,True,19,2,cwe_327_sha1_module_constant.js,False,False,False,True
CWE-327/cwe_327_config_object_cipher.js,CWE-327,True,26,3,cwe_327_config_object_cipher.js,False,False,False,True
CWE-327/cwe_327_legacy_flag_fallback.ts,CWE-327,True,26,4,cwe_327_legacy_flag_fallback.ts,False,False,False,True
CWE-327/cwe_327_crypto_helper_factory.js,CWE-327,True,21,5,cwe_327_crypto_helper_factory.js,False,False,False,True
CWE-798/cwe_798_inline_stripe_api_key.js,CWE-798,True,24,1,cwe_798_inline_stripe_api_key.js,False,True,False,True
CWE-798/cwe_798_module_constant_github_token.js,CWE-798,True,13,2,cwe_798_module_constant_github_token.js,False,True,True,True
CWE-798/cwe_798_nested_config_object.js,CWE-798,True,18,3,cwe_798_nested_config_object.js,False,True,False,True
CWE-798/cwe_798_env_conditional_sandbox_key.ts,CWE-798,True,23,4,cwe_798_env_conditional_sandbox_key.ts,False,False,False,True
CWE-798/cwe_798_credential_provider_fallback.js,CWE-798,True,22,5,cwe_798_credential_provider_fallback.js,False,True,False,True
CWE-020/cwe_20_nan_pagination_ledger.js,CWE-020,True,20,1,cwe_20_nan_pagination_ledger.js,False,False,False,True
CWE-020/cwe_20_mass_assignment_profile.js,CWE-020,True,28,2,cwe_20_mass_assignment_profile.js,False,False,False,True
CWE-020/cwe_20_negative_quantity_checkout.js,CWE-020,True,25,3,cwe_20_negative_quantity_checkout.js,False,False,False,True
CWE-020/cwe_20_ssrf_webhook_callback.ts,CWE-020,True,24,4,cwe_20_ssrf_webhook_callback.ts,True,True,True,True
CWE-020/cwe_20_nosql_type_confusion_login.js,CWE-020,True,32,5,cwe_20_nosql_type_confusion_login.js,False,True,False,True
control_pool/cwe_94_safe_eval_express.js,CWE-094,False,32,1,cwe_94_safe_eval_express.js,False,False,True,True
control_pool/cwe_94_safe_settimeout_string_scheduler.js,CWE-094,False,32,2,cwe_94_safe_settimeout_string_scheduler.js,False,False,True,True
control_pool/cwe_94_safe_vm_run_in_new_context.ts,CWE-094,False,45,3,cwe_94_safe_vm_run_in_new_context.ts,False,False,False,True
control_pool/cwe_94_safe_lodash_template_upload.js,CWE-094,False,29,4,cwe_94_safe_lodash_template_upload.js,False,False,True,True
control_pool/cwe_94_safe_new_function_rules_engine.js,CWE-094,False,40,5,cwe_94_safe_new_function_rules_engine.js,False,False,True,True
control_pool/cwe_78_safe_exec_ping_diagnostics.js,CWE-078,False,21,1,cwe_78_safe_exec_ping_diagnostics.js,False,False,True,True
