file,cwe,expected_finding,sink_line,flow_level
CWE-094/cwe_94_eval_express.js,CWE-094,true,23,1
CWE-094/cwe_94_settimeout_string_scheduler.js,CWE-094,true,19,2
CWE-094/cwe_94_vm_run_in_new_context.ts,CWE-094,true,26,3
CWE-094/cwe_94_lodash_template_upload.js,CWE-094,true,21,4
CWE-094/cwe_94_new_function_rules_engine.js,CWE-094,true,26,5
CWE-078/cwe_78_exec_ping_diagnostics.js,CWE-078,true,16,1
CWE-078/cwe_78_execsync_repo_clone.js,CWE-078,true,31,2
CWE-078/cwe_78_spawn_shell_true_converter.ts,CWE-078,true,30,3
CWE-078/cwe_78_second_order_backup_worker.js,CWE-078,true,48,4
CWE-078/cwe_78_broken_sanitizer_media_queue.js,CWE-078,true,38,5
CWE-089/cwe_89_string_concat_login.js,CWE-089,true,30,1
CWE-089/cwe_89_partial_parameterization_search.js,CWE-089,true,31,2
CWE-089/cwe_89_knex_whereraw_analytics.ts,CWE-089,true,31,3
CWE-089/cwe_89_second_order_saved_filters.js,CWE-089,true,48,4
CWE-089/cwe_89_sequelize_literal_broken_escape.js,CWE-089,true,38,5
CWE-079/cwe_79_reflected_search_express.js,CWE-079,true,25,1
CWE-079/cwe_79_ejs_unescaped_profile.js,CWE-079,true,24,2
CWE-079/cwe_79_stored_comments_react_ssr.tsx,CWE-079,true,42,3
CWE-079/cwe_79_broken_sanitizer_markdown.js,CWE-079,true,28,4
CWE-079/cwe_79_state_hydration_script_context.js,CWE-079,true,55,5
CWE-022/cwe_22_readfile_concat_docs.js,CWE-022,true,18,1
CWE-022/cwe_22_naive_replace_avatar.js,CWE-022,true,25,2
CWE-022/cwe_22_zip_slip_theme_import.js,CWE-022,true,30,3
CWE-022/cwe_22_path_resolve_absolute_templates.ts,CWE-022,true,31,4
CWE-022/cwe_22_second_order_manifest_export.js,CWE-022,true,52,5
CWE-1321/cwe_1321_recursive_merge_settings.js,CWE-1321,true,27,1
CWE-1321/cwe_1321_query_parser_filters.js,CWE-1321,true,26,2
CWE-1321/cwe_1321_gadget_chain_ejs_render.js,CWE-1321,true,24,3
CWE-1321/cwe_1321_auth_flag_override.ts,CWE-1321,true,33,4
CWE-1321/cwe_1321_websocket_path_assignment.js,CWE-1321,true,29,5
CWE-1333/cwe_1333_nested_quantifier_validation.js,CWE-1333,true,19,1
CWE-1333/cwe_1333_hidden_match_forwarded_host.js,CWE-1333,true,19,2
CWE-1333/cwe_1333_zod_schema_pattern.ts,CWE-1333,true,24,3
CWE-1333/cwe_1333_dynamic_regexp_catalog_search.js,CWE-1333,true,24,4
CWE-1333/cwe_1333_async_log_pipeline.js,CWE-1333,true,20,5
CWE-327/cwe_327_md5_literal_password.js,CWE-327,true,19,1
CWE-327/cwe_327_sha1_module_constant.js,CWE-327,true,19,2
CWE-327/cwe_327_config_object_cipher.js,CWE-327,true,26,3
CWE-327/cwe_327_legacy_flag_fallback.ts,CWE-327,true,26,4
CWE-327/cwe_327_crypto_helper_factory.js,CWE-327,true,21,5
CWE-798/cwe_798_inline_stripe_api_key.js,CWE-798,true,24,1
CWE-798/cwe_798_module_constant_github_token.js,CWE-798,true,13,2
CWE-798/cwe_798_nested_config_object.js,CWE-798,true,18,3
CWE-798/cwe_798_env_conditional_sandbox_key.ts,CWE-798,true,23,4
CWE-798/cwe_798_credential_provider_fallback.js,CWE-798,true,22,5
CWE-020/cwe_20_nan_pagination_ledger.js,CWE-020,true,20,1
CWE-020/cwe_20_mass_assignment_profile.js,CWE-020,true,28,2
CWE-020/cwe_20_negative_quantity_checkout.js,CWE-020,true,25,3
CWE-020/cwe_20_ssrf_webhook_callback.ts,CWE-020,true,24,4
CWE-020/cwe_20_nosql_type_confusion_login.js,CWE-020,true,32,5
control_pool/cwe_94_safe_eval_express.js,CWE-094,false,32,1
control_pool/cwe_94_safe_settimeout_string_scheduler.js,CWE-094,false,32,2
control_pool/cwe_94_safe_vm_run_in_new_context.ts,CWE-094,false,45,3
control_pool/cwe_94_safe_lodash_template_upload.js,CWE-094,false,29,4
control_pool/cwe_94_safe_new_function_rules_engine.js,CWE-094,false,40,5
control_pool/cwe_78_safe_exec_ping_diagnostics.js,CWE-078,false,21,1
control_pool/cwe_78_safe_execsync_repo_clone.js,CWE-078,false,41,2
control_pool/cwe_78_safe_spawn_shell_true_converter.ts,CWE-078,false,43,3
control_pool/cwe_78_safe_second_order_backup_worker.js,CWE-078,false,62,4
control_pool/cwe_78_safe_broken_sanitizer_media_queue.js,CWE-078,false,54,5
control_pool/cwe_89_safe_string_concat_login.js,CWE-089,false,24,1
control_pool/cwe_89_safe_partial_parameterization_search.js,CWE-089,false,44,2
control_pool/cwe_89_safe_knex_whereraw_analytics.ts,CWE-089,false,44,3
control_pool/cwe_89_safe_second_order_saved_filters.js,CWE-089,false,80,4
control_pool/cwe_89_safe_sequelize_literal_broken_escape.js,CWE-089,false,35,5
control_pool/cwe_79_safe_reflected_search_express.js,CWE-079,false,34,1
control_pool/cwe_79_safe_ejs_unescaped_profile.js,CWE-079,false,31,2
control_pool/cwe_79_safe_stored_comments_react_ssr.tsx,CWE-079,false,45,3
control_pool/cwe_79_safe_broken_sanitizer_markdown.js,CWE-079,false,27,4
control_pool/cwe_79_safe_state_hydration_script_context.js,CWE-079,false,49,5
control_pool/cwe_22_safe_readfile_concat_docs.js,CWE-022,false,38,1
control_pool/cwe_22_safe_naive_replace_avatar.js,CWE-022,false,36,2
control_pool/cwe_22_safe_zip_slip_theme_import.js,CWE-022,false,45,3
control_pool/cwe_22_safe_path_resolve_absolute_templates.ts,CWE-022,false,30,4
control_pool/cwe_22_safe_second_order_manifest_export.js,CWE-022,false,60,5
control_pool/cwe_1321_safe_recursive_merge_settings.js,CWE-1321,false,31,1
control_pool/cwe_1321_safe_query_parser_filters.js,CWE-1321,false,24,2
control_pool/cwe_1321_safe_gadget_chain_ejs_render.js,CWE-1321,false,22,3
control_pool/cwe_1321_safe_auth_flag_override.ts,CWE-1321,false,34,4
control_pool/cwe_1321_safe_websocket_path_assignment.js,CWE-1321,false,43,5
control_pool/cwe_1333_safe_nested_quantifier_validation.js,CWE-1333,false,24,1
control_pool/cwe_1333_safe_hidden_match_forwarded_host.js,CWE-1333,false,19,2
control_pool/cwe_1333_safe_zod_schema_pattern.ts,CWE-1333,false,27,3
control_pool/cwe_1333_safe_dynamic_regexp_catalog_search.js,CWE-1333,false,24,4
control_pool/cwe_1333_safe_async_log_pipeline.js,CWE-1333,false,21,5
control_pool/cwe_327_safe_md5_literal_password.js,CWE-327,false,26,1
control_pool/cwe_327_safe_sha1_module_constant.js,CWE-327,false,18,2
control_pool/cwe_327_safe_config_object_cipher.js,CWE-327,false,24,3
control_pool/cwe_327_safe_legacy_flag_fallback.ts,CWE-327,false,27,4
control_pool/cwe_327_safe_crypto_helper_factory.js,CWE-327,false,23,5
control_pool/cwe_798_safe_inline_stripe_api_key.js,CWE-798,false,31,1
control_pool/cwe_798_safe_module_constant_github_token.js,CWE-798,false,12,2
control_pool/cwe_798_safe_nested_config_object.js,CWE-798,false,26,3
control_pool/cwe_798_safe_env_conditional_sandbox_key.ts,CWE-798,false,19,4
control_pool/cwe_798_safe_credential_provider_fallback.js,CWE-798,false,36,5
control_pool/cwe_20_safe_nan_pagination_ledger.js,CWE-020,false,29,1
control_pool/cwe_20_safe_mass_assignment_profile.js,CWE-020,false,34,2
control_pool/cwe_20_safe_negative_quantity_checkout.js,CWE-020,false,34,3
control_pool/cwe_20_safe_ssrf_webhook_callback.ts,CWE-020,false,63,4
control_pool/cwe_20_safe_nosql_type_confusion_login.js,CWE-020,false,35,5
